ScoreMargin,Bot_v_Bot,Winner,WinScore,LoseScore
3,Beginner vs Beginner,Beginner,11,8
4,Beginner vs Beginner,Beginner,9,5
5,Beginner vs Beginner,Beginner,6,1
4,Beginner vs Beginner,Beginner,17,13
3,Beginner vs Beginner,Beginner,11,8
5,Beginner vs Beginner,Beginner,18,13
6,Beginner vs Beginner,Beginner,17,11
15,Beginner vs Beginner,Beginner,22,7
4,Beginner vs Beginner,Beginner,9,5
4,Beginner vs Beginner,Beginner,13,9
2,Beginner vs Beginner,Beginner,6,4
5,Beginner vs Beginner,Beginner,11,6
1,Beginner vs Beginner,Beginner,17,16
4,Beginner vs Beginner,Beginner,18,14
4,Beginner vs Beginner,Beginner,17,13
4,Beginner vs Beginner,Beginner,9,5
3,Beginner vs Beginner,Beginner,14,11
4,Beginner vs Beginner,Beginner,15,11
1,Beginner vs Beginner,Beginner,8,7
0,Beginner vs Beginner,No one,10,10
1,Beginner vs Beginner,Beginner,5,4
8,Beginner vs Beginner,Beginner,29,21
9,Beginner vs Beginner,Beginner,23,14
2,Beginner vs Beginner,Beginner,14,12
10,Beginner vs Beginner,Beginner,13,3
1,Beginner vs Beginner,Beginner,14,13
5,Beginner vs Beginner,Beginner,10,5
1,Beginner vs Beginner,Beginner,10,9
0,Beginner vs Beginner,No one,18,18
1,Beginner vs Beginner,Beginner,9,8
1,Beginner vs Beginner,Beginner,11,10
2,Beginner vs Beginner,Beginner,11,9
1,Beginner vs Beginner,Beginner,12,11
5,Beginner vs Beginner,Beginner,13,8
7,Beginner vs Beginner,Beginner,15,8
5,Beginner vs Beginner,Beginner,13,8
6,Beginner vs Beginner,Beginner,15,9
4,Beginner vs Beginner,Beginner,18,14
6,Beginner vs Beginner,Beginner,11,5
1,Beginner vs Beginner,Beginner,11,10
8,Beginner vs Beginner,Beginner,18,10
6,Beginner vs Beginner,Beginner,15,9
6,Beginner vs Beginner,Beginner,10,4
4,Beginner vs Beginner,Beginner,10,6
2,Beginner vs Beginner,Beginner,4,2
0,Beginner vs Beginner,No one,8,8
2,Beginner vs Beginner,Beginner,16,14
4,Beginner vs Beginner,Beginner,9,5
7,Beginner vs Beginner,Beginner,11,4
0,Beginner vs Beginner,No one,8,8
2,Beginner vs Beginner,Beginner,16,14
5,Beginner vs Beginner,Beginner,18,13
1,Beginner vs Beginner,Beginner,8,7
10,Beginner vs Beginner,Beginner,17,7
5,Beginner vs Beginner,Beginner,10,5
5,Beginner vs Beginner,Beginner,15,10
1,Beginner vs Beginner,Beginner,7,6
4,Beginner vs Beginner,Beginner,17,13
0,Beginner vs Beginner,No one,11,11
4,Beginner vs Beginner,Beginner,21,17
5,Beginner vs Beginner,Beginner,22,17
3,Beginner vs Beginner,Beginner,13,10
6,Beginner vs Beginner,Beginner,18,12
4,Beginner vs Beginner,Beginner,15,11
3,Beginner vs Beginner,Beginner,13,10
0,Beginner vs Beginner,No one,8,8
2,Beginner vs Beginner,Beginner,7,5
5,Beginner vs Beginner,Beginner,13,8
9,Beginner vs Beginner,Beginner,14,5
1,Beginner vs Beginner,Beginner,10,9
2,Beginner vs Beginner,Beginner,14,12
1,Beginner vs Beginner,Beginner,7,6
4,Beginner vs Beginner,Beginner,14,10
5,Beginner vs Beginner,Beginner,9,4
4,Beginner vs Beginner,Beginner,10,6
0,Beginner vs Beginner,No one,13,13
6,Beginner vs Beginner,Beginner,14,8
0,Beginner vs Beginner,No one,9,9
2,Beginner vs Beginner,Beginner,15,13
0,Beginner vs Beginner,No one,12,12
2,Beginner vs Beginner,Beginner,12,10
5,Beginner vs Beginner,Beginner,12,7
0,Beginner vs Beginner,No one,19,19
7,Beginner vs Beginner,Beginner,15,8
2,Beginner vs Beginner,Beginner,7,5
5,Beginner vs Beginner,Beginner,22,17
5,Beginner vs Beginner,Beginner,16,11
6,Beginner vs Beginner,Beginner,16,10
4,Beginner vs Beginner,Beginner,11,7
8,Beginner vs Beginner,Beginner,17,9
6,Beginner vs Beginner,Beginner,15,9
4,Beginner vs Beginner,Beginner,14,10
1,Beginner vs Beginner,Beginner,19,18
1,Beginner vs Beginner,Beginner,11,10
5,Beginner vs Beginner,Beginner,20,15
6,Beginner vs Beginner,Beginner,13,7
7,Beginner vs Beginner,Beginner,15,8
6,Beginner vs Beginner,Beginner,15,9
7,Beginner vs Beginner,Beginner,18,11
0,Beginner vs Beginner,No one,10,10
1,Beginner vs Beginner,Beginner,24,23
1,Beginner vs Beginner,Beginner,12,11
1,Beginner vs Beginner,Beginner,16,15
3,Beginner vs Beginner,Beginner,11,8
6,Beginner vs Beginner,Beginner,12,6
4,Beginner vs Beginner,Beginner,20,16
4,Beginner vs Beginner,Beginner,12,8
8,Beginner vs Beginner,Beginner,15,7
1,Beginner vs Beginner,Beginner,9,8
4,Beginner vs Beginner,Beginner,14,10
7,Beginner vs Beginner,Beginner,20,13
1,Beginner vs Beginner,Beginner,14,13
1,Beginner vs Beginner,Beginner,5,4
5,Beginner vs Beginner,Beginner,10,5
4,Beginner vs Beginner,Beginner,14,10
2,Beginner vs Beginner,Beginner,9,7
3,Beginner vs Beginner,Beginner,17,14
2,Beginner vs Beginner,Beginner,19,17
5,Beginner vs Beginner,Beginner,7,2
6,Beginner vs Beginner,Beginner,15,9
5,Beginner vs Beginner,Beginner,14,9
2,Beginner vs Beginner,Beginner,8,6
3,Beginner vs Beginner,Beginner,11,8
5,Beginner vs Beginner,Beginner,7,2
3,Beginner vs Beginner,Beginner,13,10
4,Beginner vs Beginner,Beginner,17,13
4,Beginner vs Beginner,Beginner,8,4
4,Beginner vs Beginner,Beginner,11,7
1,Beginner vs Beginner,Beginner,8,7
1,Beginner vs Beginner,Beginner,12,11
5,Beginner vs Beginner,Beginner,8,3
8,Beginner vs Beginner,Beginner,23,15
1,Beginner vs Beginner,Beginner,11,10
8,Beginner vs Beginner,Beginner,12,4
5,Beginner vs Beginner,Beginner,14,9
2,Beginner vs Beginner,Beginner,8,6
2,Beginner vs Beginner,Beginner,10,8
2,Beginner vs Beginner,Beginner,16,14
4,Beginner vs Beginner,Beginner,11,7
7,Beginner vs Beginner,Beginner,20,13
0,Beginner vs Beginner,No one,18,18
2,Beginner vs Beginner,Beginner,15,13
7,Beginner vs Beginner,Beginner,15,8
5,Beginner vs Beginner,Beginner,8,3
1,Beginner vs Beginner,Beginner,11,10
1,Beginner vs Beginner,Beginner,4,3
2,Beginner vs Beginner,Beginner,3,1
4,Beginner vs Beginner,Beginner,9,5
3,Beginner vs Beginner,Beginner,11,8
12,Beginner vs Beginner,Beginner,19,7
0,Beginner vs Beginner,No one,10,10
12,Beginner vs Beginner,Beginner,18,6
7,Beginner vs Beginner,Beginner,20,13
5,Beginner vs Beginner,Beginner,10,5
9,Beginner vs Beginner,Beginner,19,10
1,Beginner vs Beginner,Beginner,17,16
3,Beginner vs Beginner,Beginner,7,4
3,Beginner vs Beginner,Beginner,11,8
4,Beginner vs Beginner,Beginner,9,5
6,Beginner vs Beginner,Beginner,14,8
7,Beginner vs Beginner,Beginner,18,11
12,Beginner vs Beginner,Beginner,18,6
3,Beginner vs Beginner,Beginner,14,11
2,Beginner vs Beginner,Beginner,4,2
8,Beginner vs Beginner,Beginner,11,3
7,Beginner vs Beginner,Beginner,17,10
2,Beginner vs Beginner,Beginner,22,20
0,Beginner vs Beginner,No one,7,7
3,Beginner vs Beginner,Beginner,12,9
1,Beginner vs Beginner,Beginner,11,10
5,Beginner vs Beginner,Beginner,17,12
2,Beginner vs Beginner,Beginner,9,7
5,Beginner vs Beginner,Beginner,11,6
0,Beginner vs Beginner,No one,7,7
3,Beginner vs Beginner,Beginner,19,16
1,Beginner vs Beginner,Beginner,22,21
0,Beginner vs Beginner,No one,10,10
5,Beginner vs Beginner,Beginner,12,7
10,Beginner vs Beginner,Beginner,20,10
3,Beginner vs Beginner,Beginner,11,8
4,Beginner vs Beginner,Beginner,12,8
3,Beginner vs Beginner,Beginner,11,8
11,Beginner vs Beginner,Beginner,27,16
9,Beginner vs Beginner,Beginner,13,4
7,Beginner vs Beginner,Beginner,17,10
1,Beginner vs Beginner,Beginner,9,8
3,Beginner vs Beginner,Beginner,13,10
11,Beginner vs Beginner,Beginner,17,6
1,Beginner vs Beginner,Beginner,15,14
3,Beginner vs Beginner,Beginner,10,7
3,Beginner vs Beginner,Beginner,14,11
8,Beginner vs Beginner,Beginner,19,11
7,Beginner vs Beginner,Beginner,20,13
3,Beginner vs Beginner,Beginner,6,3
6,Beginner vs Beginner,Beginner,20,14
0,Beginner vs Beginner,No one,13,13
2,Beginner vs Beginner,Beginner,10,8
2,Beginner vs Beginner,Beginner,9,7
5,Beginner vs Beginner,Beginner,12,7
8,Beginner vs Beginner,Beginner,16,8
1,Beginner vs Beginner,Beginner,5,4
7,Beginner vs Beginner,Beginner,19,12
3,Beginner vs Beginner,Beginner,14,11
2,Beginner vs Beginner,Beginner,16,14
6,Beginner vs Beginner,Beginner,13,7
3,Beginner vs Beginner,Beginner,8,5
4,Beginner vs Beginner,Beginner,15,11
5,Beginner vs Beginner,Beginner,14,9
6,Beginner vs Beginner,Beginner,14,8
1,Beginner vs Beginner,Beginner,12,11
8,Beginner vs Beginner,Beginner,13,5
3,Beginner vs Beginner,Beginner,5,2
2,Beginner vs Beginner,Beginner,13,11
8,Beginner vs Beginner,Beginner,15,7
8,Beginner vs Beginner,Beginner,25,17
15,Beginner vs Beginner,Beginner,23,8
7,Beginner vs Beginner,Beginner,21,14
5,Beginner vs Beginner,Beginner,12,7
1,Beginner vs Beginner,Beginner,14,13
7,Beginner vs Beginner,Beginner,21,14
2,Beginner vs Beginner,Beginner,11,9
2,Beginner vs Beginner,Beginner,10,8
1,Beginner vs Beginner,Beginner,15,14
1,Beginner vs Beginner,Beginner,10,9
5,Beginner vs Beginner,Beginner,12,7
5,Beginner vs Beginner,Beginner,15,10
